,index,pop_iconicity,pop_lex_var,current_step,lg_form_success,lg_meaning_success,lg_bit_update
32,32,0.7849999999999999,0.9933333333333333,32,5.0,1.0,4.0
33,33,0.783,0.9933333333333333,33,3.0,1.0,6.0
34,34,0.78,0.9955555555555555,34,2.0,1.0,7.0
35,35,0.777,0.9955555555555555,35,3.0,0.0,7.0
36,36,0.776,0.9955555555555555,36,2.0,1.0,7.0
37,37,0.771,0.9977777777777778,37,3.0,2.0,5.0
38,38,0.766,0.9977777777777778,38,1.0,2.0,7.0
39,39,0.763,0.9977777777777778,39,6.0,1.0,3.0
40,40,0.755,0.9933333333333333,40,2.0,0.0,8.0
41,41,0.751,0.9933333333333333,41,2.0,0.0,8.0
42,42,0.7460000000000001,0.9955555555555555,42,3.0,0.0,7.0
43,43,0.7420000000000002,0.9933333333333333,43,5.0,1.0,4.0
44,44,0.7390000000000001,0.9933333333333333,44,1.0,0.0,9.0
45,45,0.736,0.9933333333333333,45,3.0,0.0,7.0
46,46,0.7340000000000002,0.9933333333333333,46,4.0,0.0,6.0
47,47,0.7329999999999999,0.9933333333333333,47,5.0,2.0,3.0
48,48,0.728,0.9933333333333333,48,2.0,1.0,7.0
49,49,0.7199999999999999,0.9955555555555555,49,2.0,0.0,8.0
50,50,0.718,0.9977777777777778,50,4.0,2.0,4.0
51,51,0.7139999999999999,0.9977777777777778,51,4.0,0.0,6.0
52,52,0.7129999999999999,0.9977777777777778,52,2.0,5.0,3.0
53,53,0.7129999999999999,1.0,53,5.0,1.0,4.0
54,54,0.7089999999999999,1.0,54,3.0,1.0,6.0
55,55,0.7029999999999998,1.0,55,2.0,0.0,8.0
56,56,0.6980000000000001,1.0,56,3.0,0.0,7.0
57,57,0.696,1.0,57,5.0,1.0,4.0
58,58,0.6930000000000001,0.9977777777777778,58,1.0,0.0,9.0
59,59,0.6900000000000002,0.9977777777777778,59,3.0,2.0,5.0
60,60,0.686,0.9955555555555555,60,3.0,1.0,6.0
61,61,0.687,0.9955555555555555,61,5.0,0.0,5.0
62,62,0.6820000000000002,0.9955555555555555,62,2.0,1.0,7.0
63,63,0.68,0.9955555555555555,63,1.0,3.0,6.0
64,64,0.6809999999999998,0.9955555555555555,64,3.0,0.0,7.0
65,65,0.675,0.9955555555555555,65,1.0,1.0,8.0
66,66,0.6739999999999999,0.9955555555555555,66,3.0,2.0,5.0
67,67,0.67,0.9911111111111112,67,3.0,1.0,6.0
68,68,0.67,0.9911111111111112,68,4.0,2.0,4.0
69,69,0.667,0.9911111111111112,69,5.0,2.0,3.0
70,70,0.663,0.9911111111111112,70,3.0,1.0,6.0
71,71,0.662,0.9911111111111112,71,2.0,1.0,7.0
72,72,0.6619999999999999,0.9911111111111112,72,6.0,0.0,4.0
73,73,0.6579999999999999,0.9911111111111112,73,3.0,3.0,4.0
74,74,0.6609999999999999,0.9911111111111112,74,5.0,0.0,5.0
75,75,0.658,0.9933333333333333,75,1.0,2.0,7.0
76,76,0.6599999999999999,0.9933333333333333,76,4.0,2.0,4.0
77,77,0.6610000000000001,0.9933333333333333,77,4.0,1.0,5.0
78,78,0.662,0.9933333333333333,78,2.0,1.0,7.0
79,79,0.6599999999999999,0.9933333333333334,79,3.0,1.0,6.0
80,80,0.661,0.9955555555555555,80,5.0,0.0,5.0
81,81,0.657,0.9955555555555555,81,3.0,1.0,6.0
82,82,0.6579999999999999,0.9977777777777778,82,5.0,0.0,5.0
83,83,0.6569999999999999,0.9955555555555555,83,4.0,1.0,5.0
84,84,0.651,0.9977777777777778,84,4.0,0.0,6.0
85,85,0.646,1.0,85,5.0,0.0,5.0
86,86,0.6410000000000001,1.0,86,2.0,1.0,7.0
87,87,0.6370000000000001,1.0,87,3.0,1.0,6.0
88,88,0.634,1.0,88,4.0,1.0,5.0
89,89,0.6300000000000001,1.0,89,4.0,0.0,6.0
90,90,0.627,0.9977777777777778,90,1.0,2.0,7.0
91,91,0.625,0.9977777777777778,91,3.0,3.0,4.0
92,92,0.6239999999999999,0.9977777777777778,92,3.0,0.0,7.0
93,93,0.621,0.9955555555555555,93,1.0,0.0,9.0
94,94,0.619,0.9955555555555555,94,3.0,1.0,6.0
95,95,0.6180000000000001,0.9955555555555555,95,5.0,0.0,5.0
96,96,0.616,0.9955555555555555,96,6.0,0.0,4.0
97,97,0.6180000000000001,0.9933333333333333,97,2.0,0.0,8.0
98,98,0.615,0.9933333333333333,98,3.0,0.0,7.0
99,99,0.613,0.9911111111111109,99,0.0,2.0,8.0
100,100,0.614,0.9888888888888889,100,4.0,1.0,5.0
101,101,0.6119999999999999,0.9888888888888889,101,1.0,1.0,8.0
102,102,0.6129999999999999,0.9844444444444442,102,2.0,1.0,7.0
103,103,0.6159999999999999,0.9844444444444442,103,2.0,1.0,7.0
104,104,0.617,0.9844444444444442,104,5.0,0.0,5.0
105,105,0.613,0.9822222222222221,105,6.0,0.0,4.0
106,106,0.6100000000000001,0.9844444444444442,106,3.0,0.0,7.0
107,107,0.6119999999999999,0.9844444444444442,107,2.0,0.0,8.0
108,108,0.6119999999999999,0.9822222222222221,108,3.0,1.0,6.0
109,109,0.608,0.9844444444444443,109,4.0,0.0,6.0
110,110,0.607,0.9844444444444443,110,5.0,0.0,5.0
111,111,0.607,0.9844444444444443,111,4.0,0.0,6.0
112,112,0.6080000000000001,0.9844444444444443,112,1.0,2.0,7.0
113,113,0.6039999999999999,0.9844444444444442,113,5.0,1.0,4.0
114,114,0.602,0.9844444444444442,114,8.0,0.0,2.0
115,115,0.6,0.9844444444444442,115,4.0,0.0,6.0
116,116,0.5970000000000001,0.9844444444444442,116,2.0,1.0,7.0
117,117,0.5940000000000001,0.9844444444444442,117,7.0,0.0,3.0
118,118,0.595,0.9799999999999998,118,6.0,1.0,3.0
119,119,0.591,0.9777777777777776,119,2.0,0.0,8.0
120,120,0.587,0.9755555555555554,120,4.0,2.0,4.0
121,121,0.584,0.9755555555555554,121,3.0,0.0,7.0
122,122,0.586,0.9755555555555554,122,7.0,1.0,2.0
123,123,0.583,0.9755555555555554,123,5.0,0.0,5.0
124,124,0.5780000000000001,0.9755555555555554,124,2.0,3.0,5.0
125,125,0.576,0.9733333333333332,125,3.0,1.0,6.0
126,126,0.58,0.971111111111111,126,2.0,2.0,6.0
127,127,0.5780000000000001,0.971111111111111,127,8.0,0.0,2.0
128,128,0.577,0.9711111111111108,128,4.0,1.0,5.0
129,129,0.583,0.9711111111111108,129,1.0,1.0,8.0
130,130,0.5840000000000001,0.9711111111111108,130,3.0,0.0,7.0
131,131,0.5810000000000001,0.9711111111111108,131,6.0,1.0,3.0
132,132,0.5810000000000002,0.9688888888888886,132,4.0,0.0,6.0
133,133,0.5780000000000001,0.9733333333333332,133,5.0,0.0,5.0
134,134,0.5760000000000001,0.9711111111111108,134,6.0,0.0,4.0
135,135,0.575,0.9711111111111108,135,7.0,0.0,3.0
136,136,0.577,0.9688888888888888,136,5.0,1.0,4.0
137,137,0.5740000000000001,0.9688888888888888,137,5.0,0.0,5.0
138,138,0.5730000000000001,0.9733333333333332,138,4.0,1.0,5.0
139,139,0.5700000000000001,0.9777777777777776,139,4.0,2.0,4.0
140,140,0.5680000000000001,0.9711111111111108,140,6.0,0.0,4.0
141,141,0.5670000000000001,0.9666666666666663,141,7.0,0.0,3.0
142,142,0.564,0.9688888888888888,142,2.0,1.0,7.0
143,143,0.5640000000000001,0.9688888888888886,143,6.0,0.0,4.0
144,144,0.5650000000000002,0.971111111111111,144,2.0,1.0,7.0
145,145,0.563,0.9733333333333332,145,4.0,0.0,6.0
146,146,0.5619999999999999,0.9733333333333332,146,5.0,0.0,5.0
147,147,0.561,0.9733333333333332,147,6.0,1.0,3.0
148,148,0.5599999999999999,0.9733333333333332,148,6.0,1.0,3.0
149,149,0.5589999999999999,0.9711111111111108,149,5.0,0.0,5.0
150,150,0.5609999999999999,0.9733333333333333,150,2.0,0.0,8.0
151,151,0.558,0.9688888888888886,151,6.0,1.0,3.0
152,152,0.5559999999999999,0.9688888888888886,152,6.0,2.0,2.0
153,153,0.554,0.9711111111111108,153,6.0,2.0,2.0
154,154,0.5559999999999999,0.9688888888888888,154,7.0,1.0,2.0
155,155,0.5579999999999999,0.9688888888888889,155,2.0,0.0,8.0
156,156,0.5559999999999999,0.9688888888888889,156,6.0,0.0,4.0
157,157,0.557,0.9666666666666666,157,7.0,0.0,3.0
158,158,0.5599999999999999,0.9688888888888889,158,5.0,0.0,5.0
159,159,0.5549999999999999,0.9688888888888889,159,2.0,1.0,7.0
160,160,0.5529999999999999,0.9755555555555555,160,2.0,2.0,6.0
161,161,0.554,0.9755555555555555,161,5.0,0.0,5.0
162,162,0.554,0.9755555555555555,162,7.0,1.0,2.0
163,163,0.556,0.9777777777777776,163,6.0,0.0,4.0
164,164,0.5529999999999999,0.9777777777777776,164,7.0,0.0,3.0
165,165,0.548,0.9733333333333332,165,4.0,1.0,5.0
166,166,0.547,0.9733333333333332,166,4.0,1.0,5.0
167,167,0.55,0.9733333333333332,167,3.0,2.0,5.0
168,168,0.5459999999999999,0.9733333333333332,168,4.0,2.0,4.0
169,169,0.546,0.9799999999999999,169,7.0,1.0,2.0
170,170,0.5419999999999999,0.9799999999999999,170,4.0,2.0,4.0
171,171,0.5409999999999999,0.9777777777777776,171,5.0,0.0,5.0
172,172,0.5389999999999999,0.9688888888888888,172,4.0,0.0,6.0
173,173,0.5429999999999999,0.9666666666666666,173,4.0,0.0,6.0
174,174,0.546,0.9666666666666666,174,5.0,0.0,5.0
175,175,0.544,0.9688888888888888,175,7.0,1.0,2.0
176,176,0.5449999999999999,0.9666666666666666,176,6.0,1.0,3.0
177,177,0.542,0.962222222222222,177,5.0,0.0,5.0
178,178,0.539,0.962222222222222,178,4.0,1.0,5.0
179,179,0.5389999999999999,0.9644444444444442,179,5.0,1.0,4.0
180,180,0.54,0.9644444444444442,180,5.0,2.0,3.0
181,181,0.5389999999999999,0.9644444444444442,181,3.0,2.0,5.0
182,182,0.536,0.9577777777777775,182,3.0,2.0,5.0
183,183,0.5359999999999999,0.9577777777777775,183,4.0,2.0,4.0
184,184,0.534,0.9599999999999997,184,7.0,1.0,2.0
185,185,0.5309999999999999,0.9555555555555554,185,6.0,1.0,3.0
186,186,0.5309999999999999,0.9533333333333331,186,6.0,0.0,4.0
187,187,0.5309999999999999,0.9533333333333331,187,5.0,1.0,4.0
188,188,0.5269999999999999,0.9533333333333331,188,3.0,1.0,6.0
189,189,0.5279999999999999,0.9533333333333331,189,7.0,2.0,1.0
190,190,0.5279999999999999,0.9533333333333331,190,6.0,0.0,4.0
191,191,0.529,0.9466666666666664,191,6.0,1.0,3.0
192,192,0.526,0.9444444444444441,192,3.0,0.0,7.0
193,193,0.5239999999999999,0.9466666666666664,193,6.0,0.0,4.0
194,194,0.5249999999999999,0.9488888888888887,194,6.0,1.0,3.0
195,195,0.5239999999999999,0.9488888888888887,195,5.0,2.0,3.0
196,196,0.525,0.9511111111111109,196,7.0,0.0,3.0
197,197,0.525,0.9488888888888887,197,5.0,1.0,4.0
198,198,0.528,0.9466666666666664,198,6.0,1.0,3.0
199,199,0.53,0.9488888888888887,199,5.0,1.0,4.0
200,200,0.528,0.9488888888888887,200,6.0,2.0,2.0
201,201,0.53,0.9488888888888887,201,7.0,1.0,2.0
202,202,0.528,0.9466666666666665,202,7.0,1.0,2.0
203,203,0.529,0.9444444444444443,203,7.0,0.0,3.0
204,204,0.531,0.9444444444444443,204,7.0,1.0,2.0
205,205,0.5319999999999999,0.9422222222222221,205,4.0,3.0,3.0
206,206,0.534,0.9377777777777775,206,5.0,1.0,4.0
207,207,0.5359999999999999,0.9422222222222221,207,5.0,1.0,4.0
208,208,0.5349999999999999,0.9422222222222221,208,5.0,2.0,3.0
209,209,0.533,0.9422222222222221,209,8.0,0.0,2.0
210,210,0.5309999999999999,0.9399999999999996,210,7.0,1.0,2.0
211,211,0.534,0.933333333333333,211,5.0,0.0,5.0
212,212,0.5319999999999999,0.933333333333333,212,7.0,1.0,2.0
213,213,0.5349999999999999,0.9399999999999997,213,7.0,0.0,3.0
214,214,0.533,0.9399999999999997,214,6.0,0.0,4.0
215,215,0.534,0.9377777777777775,215,7.0,0.0,3.0
216,216,0.536,0.9377777777777775,216,6.0,2.0,2.0
217,217,0.535,0.9399999999999997,217,7.0,0.0,3.0
218,218,0.534,0.9399999999999997,218,8.0,1.0,1.0
219,219,0.535,0.9399999999999997,219,5.0,2.0,3.0
220,220,0.533,0.9399999999999997,220,8.0,0.0,2.0
221,221,0.5309999999999999,0.9377777777777775,221,6.0,0.0,4.0
222,222,0.5319999999999999,0.9377777777777775,222,7.0,2.0,1.0
223,223,0.5319999999999999,0.9399999999999997,223,5.0,1.0,4.0
224,224,0.534,0.9333333333333331,224,6.0,0.0,4.0
225,225,0.5349999999999999,0.9333333333333331,225,8.0,1.0,1.0
226,226,0.5329999999999999,0.9333333333333331,226,6.0,0.0,4.0
227,227,0.534,0.9333333333333331,227,7.0,0.0,3.0
228,228,0.5359999999999999,0.9311111111111108,228,6.0,2.0,2.0
229,229,0.5359999999999999,0.9311111111111108,229,7.0,1.0,2.0
230,230,0.538,0.933333333333333,230,6.0,0.0,4.0
231,231,0.541,0.9355555555555553,231,5.0,0.0,5.0
232,232,0.544,0.9355555555555553,232,4.0,1.0,5.0
233,233,0.545,0.9355555555555553,233,7.0,2.0,1.0
234,234,0.542,0.9377777777777775,234,6.0,1.0,3.0
235,235,0.541,0.9422222222222219,235,6.0,1.0,3.0
236,236,0.538,0.9422222222222221,236,7.0,0.0,3.0
237,237,0.538,0.9422222222222221,237,7.0,1.0,2.0
238,238,0.5329999999999999,0.9377777777777775,238,3.0,0.0,7.0
239,239,0.5349999999999999,0.9377777777777775,239,7.0,1.0,2.0
240,240,0.5359999999999999,0.9377777777777775,240,7.0,0.0,3.0
241,241,0.536,0.9377777777777775,241,7.0,1.0,2.0
242,242,0.535,0.9377777777777774,242,7.0,0.0,3.0
243,243,0.5330000000000001,0.9377777777777774,243,5.0,1.0,4.0
244,244,0.53,0.9377777777777774,244,5.0,2.0,3.0
245,245,0.5290000000000001,0.94,245,6.0,1.0,3.0
246,246,0.526,0.9399999999999997,246,7.0,0.0,3.0
247,247,0.525,0.9377777777777775,247,7.0,2.0,1.0
248,248,0.525,0.9288888888888887,248,3.0,1.0,6.0
249,249,0.5279999999999999,0.9288888888888887,249,7.0,0.0,3.0
250,250,0.526,0.9288888888888887,250,6.0,2.0,2.0
251,251,0.526,0.9355555555555555,251,5.0,0.0,5.0
252,252,0.529,0.9333333333333331,252,7.0,0.0,3.0
253,253,0.53,0.9288888888888887,253,8.0,1.0,1.0
254,254,0.5319999999999999,0.9288888888888885,254,6.0,0.0,4.0
255,255,0.5340000000000001,0.9288888888888885,255,8.0,0.0,2.0
256,256,0.5360000000000001,0.9288888888888885,256,7.0,1.0,2.0
257,257,0.532,0.9244444444444442,257,5.0,1.0,4.0
258,258,0.532,0.9244444444444442,258,9.0,1.0,0.0
259,259,0.5290000000000001,0.913333333333333,259,5.0,0.0,5.0
260,260,0.531,0.913333333333333,260,6.0,2.0,2.0
261,261,0.5290000000000001,0.9177777777777774,261,8.0,0.0,2.0
262,262,0.529,0.9199999999999997,262,7.0,1.0,2.0
263,263,0.532,0.9199999999999997,263,5.0,2.0,3.0
264,264,0.534,0.9199999999999997,264,7.0,1.0,2.0
265,265,0.534,0.9177777777777774,265,8.0,0.0,2.0
266,266,0.533,0.9177777777777774,266,6.0,1.0,3.0
267,267,0.5359999999999999,0.9155555555555553,267,4.0,1.0,5.0
268,268,0.5369999999999999,0.9155555555555553,268,7.0,2.0,1.0
269,269,0.5359999999999999,0.9155555555555553,269,6.0,1.0,3.0
270,270,0.5349999999999999,0.9155555555555553,270,8.0,1.0,1.0
271,271,0.5330000000000001,0.9155555555555553,271,4.0,2.0,4.0
272,272,0.534,0.913333333333333,272,5.0,2.0,3.0
273,273,0.534,0.913333333333333,273,7.0,3.0,0.0
274,274,0.5330000000000001,0.913333333333333,274,5.0,0.0,5.0
275,275,0.534,0.9111111111111108,275,7.0,0.0,3.0
276,276,0.5320000000000001,0.9111111111111108,276,4.0,0.0,6.0
277,277,0.5320000000000001,0.9111111111111108,277,7.0,1.0,2.0
278,278,0.53,0.9088888888888885,278,7.0,1.0,2.0
279,279,0.528,0.9088888888888885,279,7.0,1.0,2.0
280,280,0.528,0.9088888888888885,280,7.0,3.0,0.0
281,281,0.5289999999999999,0.9022222222222219,281,6.0,1.0,3.0
282,282,0.5289999999999999,0.8999999999999998,282,5.0,1.0,4.0
283,283,0.5289999999999999,0.8999999999999998,283,8.0,0.0,2.0
284,284,0.5269999999999999,0.8999999999999998,284,8.0,0.0,2.0
285,285,0.5279999999999999,0.8977777777777776,285,9.0,0.0,1.0
286,286,0.5279999999999999,0.8977777777777776,286,6.0,2.0,2.0
287,287,0.529,0.9022222222222221,287,6.0,1.0,3.0
288,288,0.5269999999999999,0.9066666666666666,288,5.0,1.0,4.0
289,289,0.5279999999999999,0.9066666666666666,289,7.0,0.0,3.0
290,290,0.526,0.9066666666666666,290,8.0,0.0,2.0
291,291,0.5279999999999999,0.9111111111111111,291,6.0,0.0,4.0
292,292,0.5309999999999999,0.8955555555555554,292,1.0,2.0,7.0
293,293,0.533,0.891111111111111,293,7.0,1.0,2.0
294,294,0.5319999999999999,0.8933333333333332,294,6.0,1.0,3.0
295,295,0.5349999999999999,0.8933333333333331,295,7.0,0.0,3.0
296,296,0.5349999999999999,0.8955555555555553,296,8.0,0.0,2.0
297,297,0.532,0.8933333333333334,297,7.0,0.0,3.0
298,298,0.5329999999999999,0.8933333333333334,298,5.0,0.0,5.0
299,299,0.5329999999999999,0.8888888888888888,299,7.0,1.0,2.0
300,300,0.5359999999999999,0.8866666666666668,300,7.0,0.0,3.0
301,301,0.5359999999999999,0.8822222222222222,301,8.0,0.0,2.0
302,302,0.5349999999999999,0.8844444444444444,302,4.0,3.0,3.0
303,303,0.536,0.8866666666666666,303,7.0,0.0,3.0
304,304,0.536,0.8866666666666666,304,9.0,1.0,0.0
305,305,0.5359999999999999,0.8866666666666665,305,8.0,0.0,2.0
306,306,0.532,0.8911111111111109,306,5.0,1.0,4.0
307,307,0.531,0.8888888888888886,307,6.0,1.0,3.0
308,308,0.532,0.8888888888888886,308,6.0,1.0,3.0
309,309,0.534,0.884444444444444,309,7.0,1.0,2.0
310,310,0.532,0.884444444444444,310,8.0,0.0,2.0
311,311,0.535,0.8866666666666663,311,6.0,0.0,4.0
312,312,0.536,0.8866666666666663,312,7.0,0.0,3.0
313,313,0.5370000000000001,0.8911111111111109,313,7.0,0.0,3.0
314,314,0.538,0.8955555555555553,314,5.0,2.0,3.0
315,315,0.538,0.8999999999999996,315,6.0,0.0,4.0
316,316,0.5359999999999999,0.8977777777777775,316,5.0,1.0,4.0
317,317,0.5349999999999999,0.8977777777777775,317,7.0,2.0,1.0
318,318,0.5349999999999999,0.8977777777777775,318,9.0,1.0,0.0
319,319,0.5349999999999999,0.8977777777777775,319,7.0,0.0,3.0
320,320,0.5319999999999999,0.8955555555555553,320,6.0,1.0,3.0
321,321,0.5319999999999999,0.882222222222222,321,5.0,1.0,4.0
322,322,0.5319999999999999,0.882222222222222,322,9.0,1.0,0.0
323,323,0.5289999999999999,0.882222222222222,323,7.0,0.0,3.0
324,324,0.53,0.884444444444444,324,7.0,0.0,3.0
325,325,0.529,0.8866666666666663,325,8.0,0.0,2.0
326,326,0.529,0.8866666666666663,326,6.0,0.0,4.0
327,327,0.5279999999999999,0.884444444444444,327,7.0,0.0,3.0
328,328,0.53,0.884444444444444,328,8.0,0.0,2.0
329,329,0.5289999999999999,0.8888888888888887,329,6.0,1.0,3.0
330,330,0.526,0.8911111111111109,330,5.0,2.0,3.0
331,331,0.526,0.8866666666666663,331,8.0,0.0,2.0
332,332,0.528,0.8888888888888886,332,8.0,0.0,2.0
333,333,0.5269999999999999,0.8933333333333331,333,6.0,1.0,3.0
334,334,0.528,0.8933333333333331,334,9.0,0.0,1.0
335,335,0.528,0.8888888888888886,335,8.0,0.0,2.0
336,336,0.528,0.8888888888888886,336,10.0,0.0,0.0
337,337,0.528,0.8911111111111109,337,6.0,0.0,4.0
338,338,0.5249999999999999,0.8977777777777776,338,4.0,1.0,5.0
339,339,0.5249999999999999,0.8955555555555552,339,8.0,0.0,2.0
340,340,0.5219999999999999,0.8955555555555552,340,7.0,0.0,3.0
341,341,0.5229999999999999,0.8933333333333329,341,5.0,2.0,3.0
342,342,0.524,0.8955555555555552,342,5.0,2.0,3.0
343,343,0.524,0.8933333333333331,343,8.0,0.0,2.0
344,344,0.525,0.8888888888888886,344,6.0,1.0,3.0
345,345,0.524,0.8888888888888886,345,7.0,0.0,3.0
346,346,0.523,0.8866666666666665,346,7.0,0.0,3.0
347,347,0.5239999999999999,0.8933333333333331,347,3.0,0.0,7.0
348,348,0.523,0.8911111111111109,348,5.0,2.0,3.0
349,349,0.522,0.8933333333333329,349,8.0,1.0,1.0
350,350,0.52,0.8955555555555552,350,8.0,0.0,2.0
351,351,0.52,0.8933333333333329,351,7.0,1.0,2.0
352,352,0.5189999999999999,0.8888888888888884,352,8.0,1.0,1.0
353,353,0.522,0.8822222222222218,353,4.0,1.0,5.0
354,354,0.521,0.8888888888888886,354,7.0,0.0,3.0
355,355,0.52,0.8911111111111106,355,7.0,0.0,3.0
356,356,0.522,0.882222222222222,356,6.0,0.0,4.0
357,357,0.522,0.884444444444444,357,8.0,0.0,2.0
358,358,0.5239999999999999,0.8888888888888886,358,6.0,2.0,2.0
359,359,0.527,0.8888888888888886,359,7.0,0.0,3.0
360,360,0.5279999999999999,0.884444444444444,360,6.0,1.0,3.0
361,361,0.5279999999999999,0.8911111111111106,361,6.0,0.0,4.0
362,362,0.526,0.8911111111111106,362,5.0,0.0,5.0
363,363,0.526,0.8933333333333329,363,8.0,0.0,2.0
364,364,0.5279999999999999,0.8844444444444439,364,4.0,2.0,4.0
365,365,0.526,0.8866666666666662,365,8.0,0.0,2.0
366,366,0.525,0.8866666666666662,366,8.0,1.0,1.0
367,367,0.525,0.8822222222222217,367,8.0,0.0,2.0
368,368,0.526,0.8755555555555551,368,6.0,1.0,3.0
369,369,0.5279999999999999,0.855555555555555,369,6.0,2.0,2.0
370,370,0.5279999999999999,0.8511111111111107,370,5.0,1.0,4.0
371,371,0.5269999999999999,0.8511111111111107,371,3.0,2.0,5.0
372,372,0.526,0.8488888888888885,372,9.0,0.0,1.0
373,373,0.5269999999999999,0.8466666666666663,373,8.0,1.0,1.0
374,374,0.5269999999999999,0.8466666666666663,374,9.0,1.0,0.0
375,375,0.529,0.8466666666666663,375,7.0,1.0,2.0
376,376,0.5269999999999999,0.8488888888888886,376,7.0,1.0,2.0
377,377,0.53,0.8488888888888886,377,7.0,0.0,3.0
378,378,0.5289999999999999,0.8533333333333329,378,9.0,0.0,1.0
379,379,0.5269999999999999,0.8533333333333329,379,8.0,0.0,2.0
380,380,0.526,0.8533333333333329,380,9.0,0.0,1.0
381,381,0.526,0.8555555555555553,381,7.0,1.0,2.0
382,382,0.524,0.8555555555555553,382,6.0,2.0,2.0
383,383,0.522,0.8555555555555554,383,6.0,0.0,4.0
384,384,0.5229999999999999,0.8555555555555553,384,5.0,0.0,5.0
385,385,0.5239999999999999,0.8555555555555554,385,6.0,1.0,3.0
386,386,0.5239999999999999,0.8533333333333332,386,6.0,0.0,4.0
387,387,0.526,0.8488888888888886,387,6.0,0.0,4.0
388,388,0.5279999999999999,0.8533333333333332,388,8.0,0.0,2.0
389,389,0.5269999999999999,0.8488888888888886,389,6.0,1.0,3.0
390,390,0.528,0.8488888888888886,390,9.0,0.0,1.0
391,391,0.529,0.8466666666666663,391,7.0,0.0,3.0
392,392,0.532,0.8599999999999998,392,7.0,0.0,3.0
393,393,0.5330000000000001,0.8577777777777775,393,7.0,0.0,3.0
394,394,0.532,0.8555555555555551,394,5.0,0.0,5.0
395,395,0.529,0.8555555555555551,395,6.0,1.0,3.0
396,396,0.53,0.8577777777777773,396,9.0,0.0,1.0
397,397,0.53,0.8622222222222219,397,8.0,0.0,2.0
398,398,0.532,0.8511111111111107,398,6.0,0.0,4.0
399,399,0.5319999999999999,0.8511111111111107,399,8.0,0.0,2.0
400,400,0.5319999999999999,0.8511111111111107,400,10.0,0.0,0.0
401,401,0.5319999999999999,0.8511111111111107,401,5.0,1.0,4.0
402,402,0.53,0.8488888888888885,402,7.0,1.0,2.0
403,403,0.5309999999999999,0.8488888888888885,403,9.0,0.0,1.0
404,404,0.5319999999999999,0.8488888888888885,404,7.0,0.0,3.0
405,405,0.53,0.8488888888888885,405,7.0,1.0,2.0
406,406,0.528,0.8488888888888885,406,7.0,1.0,2.0
407,407,0.529,0.844444444444444,407,5.0,2.0,3.0
408,408,0.529,0.844444444444444,408,10.0,0.0,0.0
409,409,0.529,0.8488888888888885,409,5.0,1.0,4.0
410,410,0.53,0.8511111111111107,410,9.0,0.0,1.0
411,411,0.5309999999999999,0.8511111111111107,411,8.0,1.0,1.0
412,412,0.5309999999999999,0.8488888888888885,412,7.0,1.0,2.0
413,413,0.53,0.8488888888888885,413,7.0,0.0,3.0
414,414,0.5309999999999999,0.8511111111111107,414,9.0,0.0,1.0
415,415,0.533,0.8511111111111107,415,8.0,0.0,2.0
416,416,0.533,0.8533333333333332,416,8.0,0.0,2.0
417,417,0.5329999999999999,0.8488888888888886,417,5.0,1.0,4.0
